Date,reliance,adani
2/5/2018,893.6788,108.6806
2/6/2018,883.7232,106.4192
2/7/2018,886.0016,107.2093
2/8/2018,896.0563,111.4323
2/9/2018,889.4192,114.4837
########,906.9034,118.3798
########,924.8831,119.5786
########,926.8643,117.0175
########,912.649,113.2305
########,918.2955,110.5605
########,912.4509,107.8904
########,920.6234,107.5635
########,915.6703,110.7784
########,925.4774,111.3506
########,929.8856,112.0317
########,941.5748,112.8218
########,945.5868,110.9146
3/1/2018,939.4945,108.5171
3/5/2018,915.4227,109.4707
3/6/2018,902.2971,101.4606
3/7/2018,881.3953,93.83199
3/8/2018,902.8915,92.06107
3/9/2018,904.526,85.05908
########,921.5645,88.41023
########,923.0999,87.04797
########,920.3262,89.22758
########,903.2382,91.02575
########,891.5985,87.45665
########,887.0912,87.51114
########,881.4448,87.70185
########,888.4781,88.38298
########,899.6225,86.8845
########,885.5063,83.07019
########,892.6387,89.22758
########,891.3509,87.12971
########,874.4114,85.22255
4/2/2018,884.5652,87.67461
4/3/2018,891.1032,88.49196
4/4/2018,886.4969,82.52529
4/5/2018,899.672,94.86369
4/6/2018,902.4457,96.08277
4/9/2018,907.3987,94.41456
########,908.4389,94.79953
########,922.1093,92.74635
########,919.9795,87.32465
########,930.0342,89.44199
########,928.2511,90.30818
########,935.3835,89.50616
########,929.1922,87.7417
########,933.4518,90.88564
########,919.187,88.35123
########,927.2109,89.66657
########,960.9412,88.47956
########,961.387,88.255
########,966.1915,90.17986
########,986.9448,90.98189
########,954.2546,89.89113
5/2/2018,963.5663,83.02578
5/3/2018,952.5706,81.10092
5/4/2018,944.9924,81.22924
5/7/2018,961.8823,81.87087
5/8/2018,958.0189,84.3411
5/9/2018,967.5288,82.80122
########,971.937,81.26132
########,979.9609,81.99919
########,977.3358,79.56103
########,969.7577,79.11189
########,947.1718,78.98357
########,936.4731,79.17606
########,925.0812,76.09628
########,922.6046,75.83962
########,918.0479,78.43819
########,903.684,75.32632
########,907.2502,76.44917
########,912.1537,80.07433
########,911.7574,83.18619
########,908.8351,79.36855
########,907.4978,79.17606
########,912.6985,77.63616
6/1/2018,921.8121,76.70581
6/4/2018,932.0154,74.58846
6/5/2018,938.7516,74.04308
6/6/2018,945.4382,75.8717
6/7/2018,962.229,80.4593
6/8/2018,975.1069,81.03676
########,973.4229,82.28792
########,987.7867,81.90295
########,993.0865,82.86538
########,998.4854,85.94516
########,1004.677,84.98273
########,1006.014,86.20181
########,986.6971,83.3466
########,1009.679,84.53359
########,1022.26,83.31451
########,1002.993,83.63532
########,995.0183,81.48589
########,969.7577,82.86538
########,956.7807,73.8506
########,936.0769,70.16128
########,963.3187,72.59944
7/2/2018,951.58,67.40231
7/3/2018,962.1795,68.17225
7/4/2018,980.803,69.1026
7/5/2018,955.4434,67.94769
7/6/2018,968.3708,71.18787
7/9/2018,987.7372,71.63701
########,1016.069,73.20898
########,1029.046,79.62519
########,1072.187,79.75352
########,1089.473,84.46943
########,1066.094,85.72059
########,1082.093,88.73621
########,1082.291,91.23853
########,1094.475,96.91688
########,1118.052,104.5522
########,1109.78,109.8456
########,1100.518,119.3736
########,1104.679,128.1959
########,1100.221,126.8806
########,1119.241,125.6936
########,1140.588,124.1858
########,1174.864,125.4049
8/1/2018,1181.154,123.9933
8/2/2018,1157.379,126.0786
8/3/2018,1165.898,127.1372
8/6/2018,1181.401,127.1693
8/7/2018,1173.08,122.0043
8/8/2018,1206.266,128.0997
8/9/2018,1206.513,128.5488
########,1192.893,127.7789
########,1176.547,124.7312
########,1199.232,129.8
########,1189.525,130.1849
########,1192.447,130.2812
########,1223.304,136.3445
########,1235.489,136.8578
########,1257.53,135.2858
########,1265.504,133.9705
########,1279.373,135.9274
########,1306.615,147.3804
########,1282.047,143.274
########,1262.483,143.7231
########,1229.991,144.5252
9/3/2018,1217.608,135.0613
9/4/2018,1230.288,134.9971
9/5/2018,1215.479,135.35
9/6/2018,1249.555,163.7
9/7/2018,1266.594,157.35
########,1244.058,150.75
########,1226.078,148.25
########,1240.739,148.9
########,1241.383,150.6
########,1214.389,152.05
########,1205.721,148.45
########,1199.381,147.35
########,1206.068,138.45
########,1220.481,134.5
########,1219.045,138.35
########,1239.649,136.5
########,1241.977,142.25
########,1246.138,130.6
########,1220.134,137.35
########,1193.784,134.8
########,1111.712,132.95
########,1039.001,130.2
########,1098.983,133.15
########,1079.814,135.9
########,1091.751,143.75
########,1077.586,138.2
########,1115.972,143.85
########,1129.048,152.45
########,1152.872,157.65
########,1140.489,161.75
########,1090.959,168.75
########,1052.672,168.5
########,1044.796,169.55
########,1035.93,167.55
########,1021.121,172.1
########,1035.088,166.75
########,1077.586,171.75
########,1047.075,169.05
########,1051.285,170
########,1046.332,175
########,1064.807,175.6
########,1080.062,168.5
########,1093.733,164.45
########,1100.271,165.75
########,1083.182,166.3
########,1069.859,160.25
########,1089.126,162.15
########,1087.64,160.85
########,1086.551,162.85
########,1116.814,161.45
########,1139.202,162.1
########,1126.72,160.15
########,1102.45,161
########,1092.494,158.5
########,1099.329,157.35
########,1117.606,159.15
########,1141.827,158
########,1157.528,169.9
########,1156.587,165
########,1145.591,166.7
########,1141.48,162.75
########,1144.303,157.4
########,1113.099,150.55
########,1123.154,152.9
